trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.3, 'e': 0.95}",20,0,-106.29212704779168,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.3, 'e': 0.8999999999999999}",25,0,-151.54284427485186,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
3,False,"{'a': 0.3, 'e': 0.8499999999999999}",20,0,-107.49619140406384,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.3, 'e': 0.7999999999999998}",20,14,-0.5371644888928062,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.3, 'e': 0.7499999999999998}",25,0,-92.06300314849132,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.3, 'e': 0.6999999999999997}",20,0,-71.44216293150717,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.3, 'e': 0.6499999999999997}",30,0,-319.2681391575852,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 7}",0
8,False,"{'a': 0.3, 'e': 0.5999999999999996}",20,0,-117.9360286726289,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
9,False,"{'a': 0.3, 'e': 0.5499999999999996}",25,15,15.502550477601359,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.3, 'e': 0.4999999999999996}",25,0,-59.93899575721487,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.3, 'e': 0.4499999999999996}",20,0,-22.67146421621017,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
12,False,"{'a': 0.3, 'e': 0.39999999999999963}",20,0,-103.01593921171647,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
