trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999, 'e': 0.99}",25,0,-134.0200240536147,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
2,False,"{'a': 0.998, 'e': 0.9801}",20,0,-118.69230981830803,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.997, 'e': 0.970299}",25,0,-65.5229414154005,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
4,False,"{'a': 0.996, 'e': 0.96059601}",20,0,17.377887146812796,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.995, 'e': 0.9509900498999999}",25,0,-20.631597018518256,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
6,False,"{'a': 0.994, 'e': 0.941480149401}",30,0,-7.070331918909866,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.993, 'e': 0.9320653479069899}",20,0,26.026330776653886,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.992, 'e': 0.9227446944279201}",20,0,17.56468760058372,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.991, 'e': 0.9135172474836408}",30,2,-21.909112726727123,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 1}",1
10,False,"{'a': 0.99, 'e': 0.9043820750088044}",20,2,12.670167874447598,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.989, 'e': 0.8953382542587164}",20,8,10.005128919920725,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.988, 'e': 0.8863848717161292}",25,0,-68.9301834342375,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",1
13,False,"{'a': 0.987, 'e': 0.8775210229989678}",25,8,-7.6283264123741965,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.986, 'e': 0.8687458127689782}",35,0,-9.540514274386561,"{0: 32, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.985, 'e': 0.8600583546412884}",35,23,20.166206691346805,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.984, 'e': 0.8514577710948755}",25,11,2.6153587165728505,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.983, 'e': 0.8429431933839268}",20,8,11.534336200319988,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.982, 'e': 0.8345137614500875}",20,8,-30.231219237452056,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.981, 'e': 0.8261686238355866}",30,0,2.753725570390512,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.98, 'e': 0.8179069375972308}",20,4,26.298930407208825,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.979, 'e': 0.8097278682212584}",20,6,29.084967619695988,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.978, 'e': 0.8016305895390459}",25,6,8.30953506730167,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.977, 'e': 0.7936142836436554}",20,12,-26.453873713339483,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.976, 'e': 0.7856781408072188}",25,0,-57.30786534731833,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
25,False,"{'a': 0.975, 'e': 0.7778213593991467}",20,1,34.34150814319012,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.974, 'e': 0.7700431458051551}",35,23,24.30055761250301,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.973, 'e': 0.7623427143471035}",20,11,3.724983111351695,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.972, 'e': 0.7547192872036325}",20,0,31.929083259142526,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.971, 'e': 0.7471720943315961}",25,15,18.713140088745998,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.97, 'e': 0.7397003733882802}",25,7,26.304888990609843,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.969, 'e': 0.7323033696543975}",20,2,19.657873760402033,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.968, 'e': 0.7249803359578535}",20,8,25.397371341772267,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
