trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9}",20,0,-129.66777639786034,"{0: 8, 1: 3, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.81}",25,0,-132.10837367980395,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.7290000000000001}",30,11,-82.1334217992639,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.6561000000000001}",20,0,-127.50574086727691,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.5904900000000002}",20,1,-54.850266399494494,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.5314410000000002}",20,0,-157.83807580402993,"{0: 12, 1: 3, 2: 0, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.47829690000000014}",30,0,-169.77704356478964,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.43046721000000016}",35,0,-196.87475286053805,"{0: 19, 1: 6, 2: 7, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.38742048900000015}",20,0,-104.72684574067952,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.34867844010000015}",25,0,-95.51214091612752,"{0: 14, 1: 2, 2: 8, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.31381059609000017}",25,0,-291.97913845301804,"{0: 10, 1: 4, 2: 4, 3: 2, 4: 5}",0
12,False,"{'a': 0.5, 'e': 0.28242953648100017}",20,0,-153.861689644144,"{0: 7, 1: 4, 2: 6, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.25418658283290013}",25,0,-216.1961436168882,"{0: 10, 1: 6, 2: 4, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.22876792454961012}",30,0,-109.04013666873777,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.2058911320946491}",30,0,-169.84850184840568,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.1853020188851842}",20,0,-104.8372955621551,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.16677181699666577}",25,0,-175.3131023278557,"{0: 10, 1: 4, 2: 9, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.1500946352969992}",25,0,-222.30006625375742,"{0: 13, 1: 2, 2: 4, 3: 3, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.13508517176729928}",25,0,-229.1109064751717,"{0: 8, 1: 6, 2: 7, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.12157665459056936}",30,0,-203.89990647880154,"{0: 14, 1: 4, 2: 8, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 0.12157665459056936}",20,0,-145.62767915740648,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 0.12157665459056936}",30,0,-90.00039471704847,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 0.12157665459056936}",30,0,-142.0094121849876,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
4,True,"{'a': 0.5, 'e': 0.12157665459056936}",20,0,-129.00868981167184,"{0: 12, 1: 3, 2: 1, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 0.12157665459056936}",25,0,-193.62119966349326,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
6,True,"{'a': 0.5, 'e': 0.12157665459056936}",25,0,-120.13167087290171,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 0.12157665459056936}",20,0,-224.24778132630976,"{0: 9, 1: 1, 2: 5, 3: 1, 4: 4}",0
8,True,"{'a': 0.5, 'e': 0.12157665459056936}",25,0,-157.53594177474548,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 0.12157665459056936}",20,0,-133.911879203325,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
10,True,"{'a': 0.5, 'e': 0.12157665459056936}",20,0,-111.59298100496727,"{0: 9, 1: 1, 2: 9, 3: 1, 4: 0}",0
